Title,Price,Location,City,Beds,Baths,Area
5 Marla Brand New Beautiful Modern Design House For Sale at Ideal Location,2.04 Crore,DHA 9 Town,DHA Defence,3,4,5 Marla
1 Kanal Brand New Ultra-Modern Luxurious Villa For Sale At Top Place In DHA Phase 5,8.25 Crore,DHA 9 Town,DHA Defence,5,6,1 Kanal
1 KANAL MOST BEAUTIFUL TOP OF THE LINE HOUSE OF DHA LAHORE,6.66 Crore,DHA 9 Town,DHA Defence,5,6,1 Kanal
1 Kanal Luxury Bungalow For Sale At Super Hot Location Near Defence Raya,7.21 Crore,DHA 9 Town,DHA Defence,5,6,1 Kanal
5 Marla Brand New Elegant House For Sale In Park View City Lahore,1.75 Crore,DHA 9 Town,DHA Defence,4,5,5 Marla
10 MARLA PRIME LLOCATION BRAND NEW HOUSE FOR SALE,2.85 Crore,DHA 9 Town,DHA Defence,5,6,10 Marla
Step Inside This Jaw-dropping Modern Mansion With A Double-height Lobby,6.75 Crore,DHA 9 Town,DHA Defence,5,6,1 Kanal
4 MARLA LUXURY HOUSE FOR SALE INVESTOR RATE,1.25 Crore,DHA 9 Town,DHA Defence,3,3,4 Marla
Fully Furnished 10 Marla Out Class Stylish Luxury Bungalow Proper Double Unit Full Basement For Sell In W-Block DHA Phase 3,8.49 Crore,DHA 9 Town,DHA Defence,4,5,10 Marla
5 Marla Beautiful Spanish House For Sale in Prime Location of DHA Lahore,2.25 Crore,DHA 9 Town,DHA Defence,3,4,5 Marla
8 Marla Beautiful Modern Design House Available For Sale in Prime Location,3.75 Crore,DHA 9 Town,DHA Defence,4,5,8 Marla
KANAL 60 FEET ROAD HOUSE FOR SALE,7 Crore,DHA 9 Town,DHA Defence,5,6,1 Kanal
One Bed Furnished Flat Nishter Block,85 Lakh,DHA 9 Town,DHA Defence,1,1,2.2 Marla
10 MARLA 1 YEAR USED FACING PARK HOUSE FOR SALE,4.1 Crore,DHA 9 Town,DHA Defence,6,6,10 Marla
KANAL PRIME LOCATION HOUSE,6.25 Crore,DHA 9 Town,DHA Defence,7,6,1 Kanal
SOLID LIKE NEW TILED HOUSE,2.75 Crore,DHA 9 Town,DHA Defence,5,6,10 Marla
5 Marla Brand New Spanish Designer House For Sale In Jinnah Block Bahria Town Lahore,2.5 Crore,DHA 9 Town,DHA Defence,3,5,5 Marla
10 Marla House For Sale in Jasmine Block Bahria Town Lahore,4.55 Crore,DHA 9 Town,DHA Defence,5,6,10 Marla
KANAL SLIGHTLY USED TILED CORNER HOUSE,6.55 Crore,DHA 9 Town,DHA Defence,6,6,1 Kanal
5 MARLA 5 BEDROOMS CORNER HOUSE FOR SALE,2.4 Crore,DHA 9 Town,DHA Defence,5,6,5 Marla
"Designer House for Sale in Parkview City, Lahore",1.85 Crore,DHA 9 Town,DHA Defence,4,4,5 Marla
5 Marla Brand New House for Sale in ParkViewCity Lahore,1.75 Crore,DHA 9 Town,DHA Defence,4,4,5 Marla
House For Sale,1.8 Crore,DHA 9 Town,DHA Defence,3,3,5 Marla
"Ultra Lavish Fully Furnished with Basement, Swimming Pool, Snooker, Home Theatre 1 Kanal Luxury House in Prime Location of DHA",25.5 Crore,DHA Phase 6,DHA Defence,6,6,1 Kanal
1 Kanal Modern Designed Luxury Bungalow for Sale At Prime Location In DHA Phase 6 Original Pictures Are Attached Near Dolmen Mall,7.75 Crore,DHA Phase 6,DHA Defence,5,6,1 Kanal
3 YEARS EASY INSTALLMENT PLAN HOUSE PARK VIEW CITY LAHORE,3.15 Crore,DHA Phase 6,DHA Defence,5,6,10 Marla
3 Years Instalment Plan Luxury Brand New House For Sale In Park View City Lahore,1.08 Crore,DHA Phase 6,DHA Defence,3,4,3.5 Marla
3 YEARS EASY INSTALLMENT PLAN HOUSE PARK VIEW CITY LAHORE,1.8 Crore,DHA Phase 6,DHA Defence,4,5,5 Marla
5 Beds Proper Double Unit House For Sale In J-Block DHA Phase 1,3.1 Crore,DHA Phase 6,DHA Defence,5,5,7 Marla
5 Marla Modern House For Sale in Bahria Town Lahore,2.5 Crore,DHA Phase 6,DHA Defence,3,3,5 Marla
6.11 Marla House Available For Sale In Bahria Homes Bahria Town Lahore,1.8 Crore,DHA Phase 6,DHA Defence,4,3,6 Marla
"LUXURIOUS LIVING , EXUISITE RESDENCE BUNGALOW FOR SALE",6.72 Crore,DHA Phase 6,DHA Defence,5,6,1 Kanal
01 Kanal Brand New Royal Design Bungalow For Sell Q-Block Phase 7 DHA Lahore,8.5 Crore,DHA Phase 6,DHA Defence,5,6,1 Kanal
One Kanal Modern Bungalow For Sale At Hot Location,5.8 Crore,DHA Phase 6,DHA Defence,5,6,1 Kanal
5 Marla Beautifully Designed House For Sale And Direct Meeting With Owner In Park View City Lahore,1.9 Crore,DHA Phase 6,DHA Defence,4,4,5 Marla
10 MARLA TRIPPLE STORY HOUSE FOR SALE,3.3 Crore,DHA Phase 6,DHA Defence,7,6,10 Marla
10 MARLA HOUSE BLOCK B FOR SALE,3.5 Crore,DHA Phase 6,DHA Defence,5,6,10 Marla
5 Marla Brand New Spanish Style Luxury House For Sale in ParkViewCity Lahore,1.6 Crore,DHA Phase 6,DHA Defence,4,4,5 Marla
KANAL HOUSE PRIME LOCATION FOR SALE,5.75 Crore,DHA Phase 6,DHA Defence,7,6,1 Kanal
10 MARLA HOUSE FACING FAMILY PARK,2.8 Crore,DHA Phase 6,DHA Defence,5,6,10 Marla
House For Sale,1.8 Crore,DHA Phase 6,DHA Defence,3,3,5 Marla
"1 Kanal Luxury Bungalow For Sale In DHA Phase 5, Lahore.",11.5 Crore,DHA Phase 6,DHA Defence,5,6,1 Kanal
Corner 7 Marla House For sale In Canal Burg Canal Burg,3.5 Crore,DHA Phase 6,DHA Defence,5,6,7 Marla
3.5 MARLA BEAUTIFUL DOUBLE STOREY HOUSE FOR SALE,1 Crore,DHA Phase 6,DHA Defence,3,4,3 Marla
4 MARLA BEAUTIFUL HOUSE FOR SALE IN ITTEFAQ TOWN EXTENSION,1 Crore,DHA Phase 6,DHA Defence,5,5,4 Marla
1 KANAL BRAND NEW ULTRA MODERN BUNGALOW WITH 1 KANAL LAWN FOR SALE NEAR TO RAYA.,9.89 Crore,DHA Phase 6,DHA Defence,5,6,2 Kanal
